"","","Table 3.4-2. Server Rack Vulnerabilities","",""
"Node","SW Make","Software (SW) Description","Software","CVEs List; (NVD Score)"
"","","","Version",""
"Layer 2 Switches","Cisco","Catalyst 2960-X","IOS 15.2(1)E","CVE-2016-6473; (NVD Score 6.5)"
"(Ethernet)","","","",""
"","","","","CVE-2017-6606; (NVD Score 6.4)"
"","","","","CVE-2017-3803; (NVD Score 4.7)"
"","","","","CVE-2016-1425; (NVD Score 6.5)"
"Servers SR1 and SR2","RedHat","RedHat Enterprise Linux (RHEL)","RHEL 5.0","CVE-2012-2697; (NVD Score: 4.9)"
"","","","","CVE-2012-3440; (NVD Score: 5.6)"
"","","","","CVD-2010-0727; (NVD Score: 4.9)"
"Servers SR3 and SR4","RedHat","RedHat Enterprise Linux","RHEL 7.1","CVD-2015-7833; (NVD Score: 4.9)"
"Servers SR5 and SR6","RedHat","RedHat Enterprise Linux","RHEL 6.0","CVE-2013-1935; (NVD Score: 5.7)"
"","","","","CVE-2013-2224; (NVD Score: 6.9)"
"","","","","CVE-2013-2188; (NVD Score: 4.7)"
"Servers SR7 and SR8","RedHat","RedHat Enterprise Linux","RHEL 7.1","CVD-2015-7833; (NVD Score: 4.9)"
"Severs SR9 and SR10","RedHat","RedHat Enterprise Linux","RHEL 7.1","CVD-2015-7833; (NVD Score: 4.9)"
"Severs SR11 and SR12","Microsoft","Windows Server 2008 Service Pack 2","Windows","CVE-2017-8543; (NVD Score: 9.8)"
"","","","Server 2008",""
"","","","","CVE-2014-0301; (NVD Score: 9.3)"
"","","","SP2",""
"","","","","CVE-2014-0323; (NVD Score: 6.6)"
"","","","","CVE-2014-0315; (NVD Score: 6.9)"
"","","","","CVE-2013-5058; (NVD Score: 6.9)"
"","","","","CVE-2013-5056; (NVD Score: 9.3)"
"Engineering & Production","RedHat","RedHat Enterprise Linux","RHEL 5.0","CVE-2012-2697; (NVD Score: 4.9)"
"SAN 1","","","",""
"","","","","CVE-2012-3440; (NVD Score: 5.6)"
"","","","","CVD-2010-0727; (NVD Score: 4.9)"
"Engineering & Production","RedHat","RedHat Enterprise Linux","RHEL 7.1","CVD-2015-7833; (NVD Score: 4.9)"
"SAN 2","","","",""
"Engineering & Production","RedHat","RedHat Enterprise Linux","RHEL 7.1","CVD-2015-7833; (NVD Score: 4.9)"
"SAN 3","","","",""
