"(Ethernet), Qty. 3","","","",""
"","","","","CVE-2017-6606; (NVD Score: 6.4)"
"","","","","CVE-2017-3803; (NVD Score: 4.7)"
"","","","","CVE-2016-1425; (NVD Score: 6.5)"
"Engineering & Production","RedHat","RedHat Enterprise Linux","RHEL 7.1","CVD-2015-7833; (NVD Score: 4.9)"
"SAN Archive 1","","","",""
"Engineering & Production","RedHat","RedHat Enterprise Linux","RHEL 7.1","CVD-2015-7833; (NVD Score: 4.9)"
"SAN Archive 2","","","",""
"Engineering & Production","RedHat","RedHat Enterprise Linux","RHEL 7.1","CVD-2015-7833; (NVD Score: 4.9)"
"SAN Archive 1 Backup","","","",""
"Engineering & Production","RedHat","RedHat Enterprise Linux","RHEL 7.1","CVD-2015-7833; (NVD Score: 4.9)"
"SAN Archive 2 Backup","","","",""
"Test SAN Archive","RedHat","RedHat Enterprise Linux","RHEL 7.1","CVD-2015-7833; (NVD Score: 4.9)"
"Test SAN Archive","RedHat","RedHat Enterprise Linux","RHEL 7.1","CVD-2015-7833; (NVD Score: 4.9)"
"Backup","","","",""
"Cybersecurity Capability","RedHat","RedHat Enterprise Linux","RHEL 7.1","CVD-2015-7833; (NVD Score: 4.9)"
"& Tools SAN Archive","","","",""
